net,length_um
_19595_,386.87µm
_08781_,386.245µm
_15061_,385.8µm
_09575_,385.6µm
_19630_,385.545µm
clknet_5_28__leaf_clk,385µm
net164,384.98µm
_10179_,384.61µm
_12600_,384.39µm
net577,384.09µm
net585,384.06µm
net205,384.03µm
_19650_,383.96µm
net655,383.6µm
_09971_,383.58µm
pq_head_id\[1\],383.57µm
net149,383.06µm
net697,382.99µm
pq_head_id\[0\],382.75µm
net627,382.04µm
_16573_,381.8µm
clknet_5_11__leaf_clk,381.56µm
net695,381µm
_20003_,380.91µm
_12267_,380.68µm
net198,380.41µm
_12382_,379.94µm
net752,378.78µm
net604,378.35µm
_20686_,378.16µm
_12763_,377.96µm
_03273_,377.84µm
_20138_,377.84µm
_03072_,377.78µm
_20786_,377.22µm
_19561_,376.925µm
_12825_,376.61µm
_04230_,376.36µm
net712,375.98µm
cmd_word\[9\],375.96µm
_16082_,375.88µm
net209,375.71µm
clknet_5_4__leaf_clk,375.59µm
_19651_,375.5µm
net208,375.18µm
net508,374.86µm
_15114_,374.84µm
sq_enq_counter\[0\],374.7µm
net635,374.39µm
_17541_,374.16µm
net745,373.96µm
_16085_,373.67µm
clknet_5_23__leaf_clk,373.66µm
_19648_,373.14µm
net364,372.925µm
_12291_,372.82µm
net632,372.6µm
_15789_,372.1µm
clknet_5_18__leaf_clk,371.85µm
_12295_,371.64µm
net174,371.41µm
_05456_,370.76µm
_19869_,370.4µm
net699,370.37µm
_21157_,369.96µm
net469,369.78µm
net767,368.04µm
_19501_,367.87µm
_07180_,367.12µm
_03277_,366.94µm
_15215_,366.72µm
_15132_,366.24µm
_08485_,365.18µm
net701,364.92µm
_21050_,364.53µm
net212,364.49µm
net162,364.32µm
_09553_,364.01µm
_10111_,363.665µm
_21346_,363.66µm
net638,363.5µm
_12544_,363.2µm
clknet_5_17__leaf_clk,363.19µm
net206,363.14µm
_19483_,363.07µm
_10047_,362.965µm
_16041_,362.8µm
net438,361.91µm
_19657_,361.805µm
net771,361.55µm
_15904_,361.42µm
_08823_,361.39µm
net703,361.22µm
_21548_,361.06µm
_08766_,361.01µm
net175,360.44µm
_08973_,360.4µm
_15879_,360.34µm
net348,360.15µm
net709,359.74µm
net614,359.71µm
net283,359.7µm
_19658_,359.62µm
_15796_,359.36µm
_19610_,359.125µm
_14673_,358.35µm
_08681_,358.3µm
net183,358.24µm
net245,358.14µm
net379,357.62µm
net748,357.48µm
