net,length_um
_19893_,260.38µm
_12356_,260.27µm
_19922_,260.12µm
net1304,259.96µm
net1432,259.93µm
_10873_,259.92µm
_09009_,259.7µm
net1205,259.66µm
_05682_,259.64µm
_15940_,259.56µm
_17910_,259.36µm
_21021_,259.33µm
_08512_,259.28µm
net1168,259.19µm
_14668_,259.04µm
net444,259µm
_05730_,258.97µm
_14712_,258.96µm
_19831_,258.95µm
sq_enq_counter\[23\],258.68µm
net1123,258.65µm
_11073_,258.57µm
net22,258.55µm
net1302,258.5µm
net492,258.2µm
_12633_,258.19µm
_10220_,258.13µm
_12531_,258.11µm
net917,258.02µm
_11730_,257.91µm
net1146,257.86µm
_19745_,257.81µm
_14933_,257.64µm
_19209_,257.62µm
_13704_,257.6µm
net919,257.56µm
_21062_,257.38µm
net1284,257.28µm
_09986_,257.25µm
net1294,256.76µm
net662,256.7µm
net1030,256.56µm
_04239_,256.52µm
_21008_,256.28µm
_11297_,256.01µm
_15081_,256.01µm
sq_enq_counter\[6\],255.91µm
_19609_,255.89µm
net1287,255.72µm
_19912_,255.65µm
net1080,255.58µm
_10265_,255.52µm
net1257,255.42µm
net1031,254.725µm
_20834_,254.58µm
_09013_,254.4µm
net474,254.18µm
net126,254.1µm
_11078_,254.03µm
_14691_,253.84µm
net654,253.81µm
_09320_,253.49µm
_14735_,252.95µm
_21490_,252.6µm
_05355_,252.42µm
net180,252.37µm
_03187_,251.98µm
_08649_,251.9µm
cmd_word\[14\],251.88µm
net1297,251.78µm
net571,251.73µm
net1272,251.48µm
pq_flush,251.37µm
_04247_,251.36µm
_20797_,251.33µm
net1186,251.27µm
_20149_,251.21µm
_09997_,250.78µm
net579,250.64µm
_08325_,250.54µm
_14698_,250.36µm
_15365_,250.24µm
net154,250.22µm
_03276_,250.02µm
_00057_,249.92µm
_08702_,249.86µm
_09255_,249.84µm
net1163,249.8µm
_11280_,249.65µm
_10426_,249.645µm
_08977_,249.44µm
cmd_word\[8\],249.3µm
_10886_,249.28µm
net1209,248.82µm
_09293_,248.77µm
_15850_,248.64µm
_10402_,248.47µm
_22774_,248.46µm
_14746_,248.42µm
_19539_,248.38µm
sq_enq_counter\[27\],248.18µm
_06555_,247.64µm
net1324,247.63µm
net113,247.62µm
_11091_,247.56µm
_22132_,247.43µm
_22217_,247.43µm
net282,247.405µm
_11270_,247.34µm
_11112_,247.26µm
net1893,247.06µm
net1158,247.04µm
net1891,247.04µm
_14675_,246.89µm
_10414_,246.4µm
_12290_,246.4µm
net543,246.32µm
net656,246.28µm
net153,246.14µm
_00826_,246µm
current_task\[2\],245.57µm
net1190,245.52µm
_11535_,245.35µm
_14362_,245.34µm
_03678_,245.28µm
net1224,245.14µm
net1221,244.86µm
_15735_,244.64µm
_06097_,244.56µm
_21128_,244.27µm
_03204_,244.23µm
_08786_,244.16µm
_10025_,244.16µm
_09248_,243.97µm
_05349_,243.81µm
net1019,243.7µm
_11534_,243.67µm
_12583_,243.61µm
_19144_,243.46µm
net1153,243.4µm
net511,243.39µm
_12562_,243.28µm
net514,243.2µm
_11088_,243.13µm
_12372_,243.08µm
_10633_,242.78µm
_16365_,242.72µm
net28,242.62µm
_12507_,242.305µm
net1198,242.26µm
_00023_,242.23µm
_15086_,242.14µm
_12732_,242.12µm
_10420_,242.11µm
_16663_,242.05µm
_09869_,242.03µm
_14721_,242.01µm
_08315_,241.9µm
_09376_,241.85µm
net1181,241.64µm
_06114_,241.55µm
_19286_,241.43µm
net45,241.42µm
net920,241.32µm
net502,241.24µm
_16030_,240.9µm
net1024,240.77µm
net1269,240.74µm
net73,240.545µm
_13127_,240.52µm
_19795_,240.48µm
_07557_,240.38µm
_10394_,240µm
_21250_,240µm
_09296_,239.615µm
_13508_,239.3µm
_18661_,239.28µm
_10036_,239.22µm
_09479_,239.095µm
net1197,238.92µm
net1884,238.77µm
net572,238.65µm
net1276,238.44µm
net566,238.36µm
cmd_word\[13\],237.82µm
_18220_,237.78µm
net222,237.76µm
_19885_,237.64µm
_22265_,237.64µm
_19444_,237.62µm
net1247,237.56µm
_11307_,237.55µm
_19273_,237.22µm
_15976_,237.06µm
net713,237.02µm
_15089_,236.96µm
net576,236.96µm
_19259_,236.3µm
_10681_,236.1µm
_08862_,236.02µm
net1712,235.92µm
_08833_,235.67µm
_10887_,235.65µm
_08791_,235.57µm
current_task\[1\],235.235µm
_05852_,235.22µm
_04554_,235.14µm
net1061,235.1µm
_19639_,235.07µm
_16356_,234.99µm
net966,234.99µm
_05281_,234.82µm
net1234,234.8µm
net1223,234.78µm
pq_depth\[2\],234.77µm
_10451_,234.76µm
_10877_,234.54µm
net1149,234.52µm
_12228_,234.4µm
net1147,234.34µm
_17805_,234.3µm
_15684_,234.18µm
_11077_,234.07µm
_20836_,234.06µm
net425,233.68µm
_11274_,233.43µm
_14616_,233.38µm
_04374_,233.34µm
_14831_,233.3µm
net929,233.23µm
_12713_,232.96µm
net1204,232.7µm
_11484_,232.57µm
_12786_,232.56µm
net1290,232.545µm
_15107_,232.4µm
_20853_,232.35µm
net682,232.34µm
sq_enq_counter\[21\],232.3µm
_15341_,232.29µm
_22360_,232.24µm
_11265_,232.195µm
_22630_,232.19µm
net687,232.08µm
_09244_,231.93µm
_11275_,231.75µm
u_sq.valid_mem\[3\]\[0\],231.62µm
_05177_,231.6µm
_23112_,231.48µm
net1196,231.48µm
cmd_word2\[30\],231.385µm
net1235,231.36µm
net1458,231.36µm
net1172,231.24µm
_10032_,231.18µm
net1278,231.02µm
_09784_,230.91µm
_14660_,230.76µm
net32,230.72µm
_23101_,230.685µm
_19514_,230.59µm
_03760_,230.54µm
_15667_,230.38µm
_12389_,230.32µm
net1291,230.29µm
net509,230.21µm
_14733_,230.14µm
_10864_,230.12µm
net1232,229.98µm
_03233_,229.54µm
_07738_,229.44µm
_08763_,229.44µm
_10230_,229.24µm
net550,229.23µm
_10400_,229.08µm
_03114_,228.92µm
_19690_,228.61µm
_11286_,228.53µm
_22706_,228.5µm
_14699_,228.43µm
_12250_,228.4µm
_09972_,228.12µm
net1210,228.08µm
_05742_,228µm
_09245_,227.58µm
_14659_,227.36µm
_08951_,227.34µm
_11759_,227.315µm
_13116_,227.28µm
net1167,227.23µm
net512,227.17µm
net1281,227.06µm
_11477_,226.99µm
net1045,226.9µm
_11485_,226.67µm
_22221_,226.67µm
_08687_,226.48µm
sq_enq_counter\[24\],226.44µm
net370,226.44µm
net1242,226.4µm
net1124,226.29µm
_12784_,226.25µm
cmd_word2\[11\],226.2µm
net780,225.92µm
_08437_,225.81µm
_08994_,225.54µm
_22415_,225.3µm
_14722_,225.04µm
_05219_,225.02µm
net1228,225.02µm
net591,224.94µm
_22498_,224.91µm
_19231_,224.9µm
u_sq.cnt_mem\[5\]\[11\],224.9µm
_03871_,224.82µm
_14635_,224.6µm
_16891_,224.56µm
_22819_,224.49µm
net103,224.36µm
_05851_,224.355µm
_22968_,224.34µm
_07575_,224.3µm
_03890_,224.26µm
_11087_,224.22µm
_06027_,224.11µm
_11123_,224.04µm
net1178,224µm
_19570_,223.97µm
_07435_,223.92µm
_22600_,223.92µm
net648,223.71µm
_05001_,223.63µm
_22145_,223.59µm
net24,223.59µm
_20541_,223.52µm
_14729_,223.32µm
_16490_,223.24µm
net1319,223.12µm
net1525,223.09µm
sq_enq_counter\[25\],222.62µm
net1710,222.54µm
_09696_,222.42µm
_13067_,222.34µm
net1179,222.32µm
sq_enq_counter\[26\],222.3µm
u_ctrl.tick_count\[12\],222.3µm
_20795_,222.25µm
pq_depth\[1\],222.075µm
net328,222.02µm
_10229_,221.88µm
_22777_,221.88µm
net53,221.745µm
_08335_,221.58µm
_17561_,221.48µm
_08958_,220.8µm
sq_enq_counter\[20\],220.76µm
net114,220.44µm
net1132,220.28µm
_11075_,220.15µm
_03828_,220.1µm
net52,219.855µm
_11490_,219.84µm
net1169,219.76µm
net1707,219.68µm
net546,219.54µm
_22416_,219.4µm
_09732_,219.24µm
net1296,219.06µm
_19246_,219.04µm
_08700_,218.94µm
net1285,218.84µm
net981,218.78µm
_09237_,218.51µm
_22828_,218.39µm
_19627_,218.23µm
_21574_,218.19µm
net1164,218.1µm
net26,217.96µm
_22956_,217.92µm
_04535_,217.85µm
_09306_,217.84µm
_04566_,217.56µm
_16358_,217µm
_22133_,216.865µm
net21,216.82µm
_12229_,216.78µm
_03911_,216.68µm
_12586_,216.29µm
_11982_,216.12µm
_15240_,216.04µm
net1328,215.94µm
_09982_,215.8µm
_09612_,215.74µm
_10683_,215.7µm
_04625_,215.5µm
_09307_,215.44µm
_15359_,215.4µm
pq_depth\[0\],215.36µm
net573,215.22µm
current_task\[3\],215.125µm
_23086_,215µm
_03297_,214.97µm
net430,214.83µm
net35,214.71µm
net1050,214.64µm
net1156,214.51µm
net944,214.275µm
cmd_word\[15\],214.2µm
net1199,214.1µm
net690,214.025µm
_07597_,213.83µm
_21120_,213.37µm
_12749_,213.21µm
u_pq.cell_key_w\[2\]\[2\],213.205µm
_23061_,213.2µm
_09064_,213.19µm
net1203,213.06µm
net1378,213.03µm
net1312,212.99µm
net592,212.96µm
clknet_leaf_212_clk,212.88µm
_11959_,212.68µm
_04956_,212.66µm
net1295,212.62µm
net520,212.475µm
_19232_,212.39µm
u_pq.cell_key_w\[3\]\[13\],212.38µm
_14865_,212.3µm
_20694_,212.14µm
net1085,212.06µm
_09284_,212.02µm
_12971_,211.71µm
sq_enq_counter\[28\],211.57µm
_05721_,211.04µm
_22036_,210.72µm
_14736_,210.68µm
_07865_,210.55µm
_03301_,210.54µm
_12307_,210.54µm
net501,210.48µm
net513,210.4µm
_20986_,210.37µm
_12826_,210.345µm
_11259_,209.99µm
net1894,209.98µm
_09981_,209.66µm
_14899_,209.42µm
_09500_,209.21µm
net1260,209.2µm
_09286_,209.14µm
net1225,209.07µm
_10872_,209.02µm
_21546_,209.02µm
_19298_,208.96µm
net1215,208.95µm
_08760_,208.85µm
_09745_,208.46µm
_13140_,208.42µm
_22173_,208.42µm
net946,208.34µm
net1090,208.24µm
_21451_,208.22µm
_16661_,208.12µm
_03154_,208.08µm
_17914_,208.04µm
_10217_,207.92µm
_05867_,207.83µm
_05815_,207.8µm
_14814_,207.78µm
_03245_,207.76µm
_10714_,207.49µm
_08523_,207.48µm
_13457_,207.45µm
_07559_,207.35µm
u_ctrl.tick_count\[13\],207.32µm
_22233_,207.25µm
net1195,207.16µm
apb_pwdata\[29\],207.1µm
current_task\[0\],207.04µm
net1237,206.97µm
_04793_,206.89µm
_05728_,206.82µm
net781,206.7µm
net377,206.61µm
_22478_,206.6µm
_20859_,206.5µm
net1306,206.44µm
_05185_,206.42µm
_08694_,206.415µm
net1166,206.4µm
net1159,206.18µm
net1191,206.17µm
_04278_,206.13µm
cmd_word2\[5\],206.13µm
u_ctrl.tick_count\[0\],205.98µm
net1218,205.81µm
net105,205.72µm
net1526,205.7µm
_21274_,205.64µm
_00022_,205.42µm
net491,205.29µm
_05226_,205.26µm
apb_pwdata\[28\],205.26µm
_05886_,205µm
_19503_,205µm
_09087_,204.7µm
net1011,204.64µm
_05828_,204.6µm
net683,204.6µm
net1088,204.4µm
_22504_,204.35µm
_07733_,204.24µm
u_ctrl.tt_wr_status\[2\],204.24µm
_11733_,204.06µm
_22586_,203.98µm
cmd_word2\[16\],203.92µm
_04595_,203.7µm
_19567_,203.6µm
_08998_,203.56µm
net1841,203.53µm
net688,203.44µm
_20863_,203.38µm
_09483_,203.35µm
_08696_,203.33µm
cmd_word\[21\],203.14µm
_03746_,203.08µm
_13085_,203.07µm
_11113_,202.95µm
_07437_,202.945µm
_19562_,202.795µm
net1289,202.655µm
_20551_,202.65µm
net1301,202.62µm
_20818_,202.59µm
_05183_,202.4µm
_19601_,202.395µm
_09962_,202.36µm
_12220_,202.3µm
net1236,202.28µm
cmd_word2\[2\],202.24µm
_10889_,202.04µm
_08464_,202.02µm
net685,201.88µm
_16012_,201.82µm
_14706_,201.66µm
cmd_word2\[31\],201.485µm
net846,201.46µm
_07661_,201.42µm
net246,201.34µm
u_pq.cell_valid_w\[1\]\[0\],201.28µm
net1243,201µm
_14628_,200.96µm
_09481_,200.95µm
_06843_,200.84µm
_10205_,200.75µm
net1683,200.72µm
_13601_,200.55µm
_22532_,200.5µm
_22486_,200.44µm
net5,200.44µm
_10672_,200.4µm
cmd_word2\[22\],200.36µm
_14696_,200.32µm
_06792_,200.29µm
_10862_,200.1µm
net468,200.1µm
_11712_,200.06µm
_11750_,199.98µm
net496,199.87µm
net1313,199.86µm
_11475_,199.7µm
net1162,199.625µm
_11541_,199.52µm
_04563_,199.46µm
_19897_,199.43µm
_04399_,199.33µm
_05732_,199.28µm
_10632_,199.24µm
_04274_,199.22µm
_13117_,199.165µm
_11530_,199.02µm
_10647_,198.78µm
_14715_,198.7µm
_21623_,198.64µm
net41,198.495µm
_10904_,198.48µm
_09838_,198.44µm
cmd_word\[11\],198.32µm
_06525_,198.3µm
_10874_,198.16µm
_04279_,198.14µm
_18339_,198.13µm
_10635_,198.12µm
_11715_,198.07µm
_08772_,197.98µm
_09879_,197.96µm
_09480_,197.91µm
_08721_,197.76µm
net1217,197.5µm
u_ctrl.tt_wr_id\[3\],197.44µm
net533,197.43µm
_06528_,197.4µm
_04585_,197.22µm
_14726_,197.18µm
u_pq.cell_valid_w\[2\]\[0\],197.18µm
_06554_,197.11µm
_11762_,197.06µm
_20540_,197.06µm
_03089_,197.04µm
_06739_,197.04µm
_19518_,197.035µm
_09532_,197.02µm
cmd_word2\[6\],197.02µm
net938,196.72µm
_22942_,196.46µm
_17517_,196.165µm
net1021,196.09µm
_18642_,196.04µm
_05934_,196µm
_09294_,195.97µm
_21147_,195.45µm
_11268_,195.36µm
_18429_,195.07µm
_08522_,195µm
_09837_,194.92µm
_12427_,194.92µm
_20049_,194.92µm
_06807_,194.83µm
_19867_,194.735µm
net1231,194.63µm
_23008_,194.5µm
_07727_,194.42µm
net905,194.34µm
_19642_,193.98µm
_03712_,193.95µm
_13222_,193.94µm
net671,193.9µm
_08703_,193.85µm
_08217_,193.82µm
_10034_,193.8µm
_18364_,193.72µm
_11543_,193.66µm
_14321_,193.65µm
net1137,193.5µm
_03313_,193.45µm
_14309_,193.37µm
_19244_,193.3µm
cmd_word\[12\],193.09µm
net98,193.06µm
_06665_,193.02µm
_09494_,192.97µm
_23016_,192.85µm
net29,192.615µm
_10926_,192.44µm
_20811_,192.4µm
_10242_,192.32µm
_08761_,192.26µm
net1258,192.22µm
_18649_,191.88µm
_05823_,191.84µm
net1063,191.785µm
_19618_,191.78µm
net994,191.76µm
_09493_,191.74µm
_04214_,191.72µm
u_ctrl.tt_wr_en,191.675µm
net1649,191.64µm
_23075_,191.44µm
net307,191.04µm
_20111_,190.96µm
_13553_,190.82µm
_22722_,190.8µm
_14676_,190.64µm
u_ctrl.tt_wr_remaining_wcet\[12\],190.49µm
net980,190.44µm
net531,190.4µm
net1097,190.4µm
_08426_,190.36µm
_20822_,190.36µm
_19542_,190.31µm
_09316_,190.1µm
_04396_,190.06µm
timer_enable,190.02µm
_22362_,189.9µm
_10274_,189.88µm
u_ctrl.sched_mode\[0\],189.81µm
_21151_,189.68µm
u_ctrl.tick_count\[9\],189.525µm
u_ctrl.tick_count\[4\],189.495µm
_20035_,189.48µm
clknet_leaf_187_clk,189.34µm
_04758_,189.28µm
_11991_,189.28µm
_08803_,189.25µm
u_sq.id_mem\[5\]\[2\],189.12µm
_22200_,189.1µm
_12332_,188.91µm
net1684,188.9µm
_03749_,188.83µm
net1329,188.79µm
net1154,188.66µm
_11751_,188.5µm
_04549_,188.43µm
net1261,188.4µm
_18434_,188.19µm
_19536_,188.14µm
net1267,188.09µm
cmd_word2\[18\],187.9µm
_05368_,187.48µm
_09283_,187.445µm
_06175_,187.28µm
net1145,186.685µm
_20866_,186.48µm
net1266,186.305µm
net922,186.16µm
_18431_,186.07µm
net977,186.07µm
net578,185.98µm
_22980_,185.96µm
net1322,185.86µm
_22191_,185.57µm
_04323_,185.02µm
_15443_,185.02µm
cmd_word2\[19\],184.96µm
net236,184.96µm
_11756_,184.94µm
net1155,184.86µm
_11132_,184.78µm
net684,184.69µm
u_pq.cell_key_w\[2\]\[14\],184.68µm
_19260_,184.63µm
_06611_,184.4µm
net1006,184.36µm
_11716_,184.31µm
_11473_,184.18µm
net1279,184.18µm
_12400_,184.02µm
_04266_,183.85µm
_13083_,183.76µm
net1754,183.65µm
_09236_,183.42µm
net1062,183.36µm
_12266_,183.33µm
net25,183.3µm
_03168_,183.24µm
u_sq.valid_mem\[1\]\[0\],183.23µm
_21713_,183.14µm
_10869_,182.96µm
_08776_,182.88µm
net1136,182.68µm
net679,182.67µm
_12350_,182.63µm
net1201,182.5µm
net1219,182.34µm
net1752,182.34µm
_10881_,182.25µm
net989,182.14µm
u_ctrl.tick_count\[8\],182.075µm
_19555_,182.06µm
_18382_,182.03µm
_06037_,181.96µm
_12323_,181.94µm
net537,181.94µm
net1256,181.8µm
_07594_,181.34µm
_22922_,181.34µm
_22751_,181.08µm
net1022,181.07µm
_06560_,180.96µm
_15018_,180.88µm
_16369_,180.66µm
net909,180.62µm
_03228_,180.59µm
_14916_,180.57µm
_05662_,180.5µm
_18638_,180.44µm
_06660_,180.43µm
_10998_,180.4µm
net1788,180.35µm
_15312_,180.32µm
_03063_,180.265µm
_03927_,180.18µm
_10644_,179.96µm
net1327,179.96µm
_05049_,179.73µm
net1883,179.5µm
_22671_,179.48µm
_11944_,179.22µm
net1135,179.18µm
_15079_,179.16µm
_06755_,179.155µm
_04857_,179.14µm
net1648,179.02µm
net667,178.94µm
net1843,178.93µm
_22920_,178.84µm
net567,178.7µm
_14292_,178.655µm
_03169_,178.54µm
_07457_,178.49µm
net928,178.42µm
clknet_leaf_164_clk,178.32µm
net1263,178.26µm
_08964_,178.21µm
_06161_,178.2µm
_11720_,177.97µm
net970,177.66µm
_19337_,177.63µm
u_pq.cell_key_w\[2\]\[1\],177.5µm
_15258_,177.24µm
_07142_,177.2µm
u_pq.cell_key_w\[2\]\[3\],177.11µm
_05547_,177.08µm
_10390_,176.81µm
_09989_,176.78µm
_22231_,176.64µm
_10990_,176.62µm
_04384_,176.61µm
_03875_,176.52µm
_10204_,176.48µm
_21034_,176.35µm
_07367_,176.32µm
net1227,176.26µm
_14763_,176.19µm
_13825_,176.1µm
_20828_,175.965µm
_03310_,175.81µm
_16819_,175.52µm
_22566_,175.42µm
_16620_,175.18µm
_16367_,175.17µm
_03216_,175.13µm
_17800_,174.88µm
_19707_,174.82µm
_05735_,174.78µm
u_pq.cell_key_w\[2\]\[5\],174.78µm
_08514_,174.74µm
net1428,174.72µm
net306,174.66µm
net1246,174.64µm
net1151,174.62µm
_03695_,174.38µm
_22685_,174.32µm
_17802_,174.26µm
scan_parallel\[3\],174.24µm
_05924_,174.18µm
_05254_,174.12µm
net1590,173.94µm
u_uart_apb.baud_tick,173.8µm
net1165,173.8µm
_03274_,173.785µm
_04377_,173.69µm
_22860_,173.6µm
net845,173.56µm
_18440_,173.5µm
net936,173.44µm
_17798_,173.34µm
_20932_,173.33µm
_07915_,173.2µm
_17044_,173.18µm
u_pq.cell_key_w\[2\]\[10\],173.16µm
_20942_,173.11µm
_05085_,173.08µm
_20819_,173.07µm
_15287_,173.06µm
_19321_,173.02µm
_05731_,172.92µm
net1241,172.91µm
_07544_,172.9µm
_12836_,172.86µm
net1148,172.74µm
_05541_,172.66µm
_10038_,172.66µm
_04011_,172.64µm
_08502_,172.56µm
_14651_,172.48µm
_04725_,172.34µm
_04118_,172.21µm
net945,172.21µm
_16703_,172.2µm
_21046_,172.18µm
_05275_,172.15µm
net1171,171.92µm
net540,171.9µm
net1111,171.9µm
_16350_,171.8µm
_21655_,171.7µm
_04894_,171.64µm
_05257_,171.52µm
_14580_,171.38µm
u_pq.cell_key_w\[2\]\[9\],171.38µm
_22704_,171.25µm
_21672_,171.14µm
_19655_,170.95µm
_21562_,170.88µm
clknet_leaf_183_clk,170.66µm
_19899_,170.6µm
_22387_,170.59µm
_12327_,170.56µm
u_ctrl.pending_word1\[9\],170.475µm
_04575_,170.42µm
net913,170.34µm
_03061_,170.305µm
_13195_,170.285µm
_17917_,170.23µm
net1012,170.2µm
_22611_,170.1µm
_09514_,170.035µm
_04002_,169.915µm
net1755,169.66µm
_06065_,169.49µm
_05393_,169.33µm
net1679,169.29µm
_19558_,169.25µm
u_pq.cell_key_w\[2\]\[15\],169.22µm
_05956_,169.15µm
_22865_,168.8µm
clknet_leaf_70_clk,168.78µm
net538,168.66µm
_07124_,168.64µm
net1182,168.64µm
u_ctrl.pending_word1\[11\],168.52µm
u_sq.id_mem\[5\]\[0\],168.36µm
_22535_,168.34µm
_14692_,168.2µm
_11308_,168.18µm
_22895_,168.12µm
net1682,168.09µm
_07716_,168.06µm
clknet_leaf_248_clk,168.04µm
_20738_,168µm
net1430,167.91µm
_00825_,167.88µm
_08722_,167.86µm
_10457_,167.82µm
_11967_,167.695µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[0\],167.685µm
_18438_,167.6µm
_20851_,167.56µm
u_ctrl.tt_wr_id\[0\],167.55µm
_19324_,167.52µm
_23091_,167.51µm
_08750_,167.49µm
net1248,167.46µm
net524,167.405µm
net1066,167.38µm
u_sq.valid_mem\[2\]\[0\],167.36µm
_14397_,167.34µm
_06718_,167.245µm
net1183,167.16µm
_08398_,167.155µm
_11713_,167.08µm
_22490_,167.02µm
net1057,166.92µm
_11503_,166.59µm
_20791_,166.56µm
_10627_,166.5µm
cmd_valid,166.5µm
u_pq.cell_key_w\[2\]\[0\],166.425µm
_22157_,166.42µm
u_uart_apb.u_uart_rx.shift_reg\[7\],166.4µm
_22696_,166.16µm
cmd_word\[17\],166.16µm
_04580_,166.15µm
net433,166.12µm
_09146_,166.1µm
_19640_,166.08µm
_13517_,165.94µm
_15778_,165.84µm
_07549_,165.82µm
_21479_,165.72µm
_05878_,165.7µm
net1036,165.685µm
_19455_,165.675µm
_16355_,165.66µm
net18,165.62µm
pq_enq_key_r\[0\],165.52µm
apb_pwdata\[27\],165.34µm
_19888_,165.3µm
net906,165.3µm
net1867,165.29µm
_04746_,165.11µm
net1280,164.96µm
net1010,164.88µm
_05287_,164.86µm
_16596_,164.7µm
_06457_,164.63µm
_15633_,164.42µm
_04523_,164.4µm
cmd_word\[16\],164.265µm
_17119_,164.24µm
_20893_,164.14µm
net1524,164.12µm
net477,164.06µm
_04325_,164.04µm
_04394_,164.02µm
_11491_,163.935µm
_19511_,163.885µm
_05295_,163.76µm
_20460_,163.7µm
net1885,163.64µm
clknet_leaf_41_clk,163.58µm
_03777_,163.56µm
_14984_,163.52µm
_16580_,163.495µm
_04440_,163.465µm
_22408_,163.44µm
_11319_,163.4µm
_12934_,163.39µm
_20983_,163.39µm
net978,163.32µm
_08152_,163.3µm
net942,163.29µm
_15374_,163.24µm
net1040,163.17µm
_09714_,163.16µm
_21467_,163.02µm
_10399_,162.96µm
net271,162.95µm
sq_enq_counter\[17\],162.92µm
_22975_,162.84µm
_17916_,162.82µm
net995,162.8µm
_14540_,162.79µm
net403,162.78µm
_22845_,162.76µm
_12465_,162.74µm
_22732_,162.7µm
_03210_,162.68µm
net602,162.68µm
net95,162.44µm
net406,162.44µm
_10392_,162.39µm
net1826,162.23µm
_04390_,162.22µm
_12268_,162.16µm
_08504_,162.04µm
_16783_,161.86µm
_17570_,161.78µm
_19933_,161.76µm
_22650_,161.72µm
_06717_,161.63µm
net1274,161.5µm
net973,161.44µm
_03271_,161.39µm
_13166_,161.37µm
u_ctrl.pending_word1\[4\],161.34µm
cmd_word2\[21\],161.29µm
_15368_,161.22µm
_05278_,161.18µm
_08701_,161.1µm
_18873_,161.1µm
_07567_,161.05µm
net298,161.04µm
_12467_,160.9µm
_22369_,160.75µm
net1275,160.74µm
_04616_,160.66µm
_09016_,160.62µm
_14256_,160.54µm
clknet_leaf_161_clk,160.48µm
net1105,160.42µm
sq_enq_counter\[13\],160.4µm
_22916_,160.3µm
clknet_leaf_278_clk,160.23µm
sq_enq_counter\[8\],160.18µm
_15035_,160.04µm
_21580_,160.04µm
net933,160.04µm
net368,160.02µm
_08774_,159.85µm
_03098_,159.84µm
net1150,159.8µm
_17945_,159.67µm
_11976_,159.6µm
u_pq.cell_key_w\[3\]\[14\],159.54µm
_12489_,159.52µm
_04080_,159.36µm
_18436_,159.36µm
_06068_,159.28µm
_22326_,159.2µm
u_ctrl.pending_word1\[8\],159.2µm
clknet_leaf_152_clk,159.06µm
_07826_,159.04µm
_18442_,158.96µm
net1299,158.82µm
_15766_,158.76µm
_06177_,158.73µm
_20207_,158.72µm
_05069_,158.64µm
_07642_,158.42µm
net265,158.22µm
_18433_,158.19µm
net861,158.13µm
net935,158.12µm
_19274_,158.04µm
_22769_,158µm
_04730_,157.9µm
_14848_,157.86µm
_14643_,157.84µm
_07029_,157.8µm
_17464_,157.51µm
net447,157.29µm
_03062_,157.205µm
cmd_word\[22\],157.16µm
_06830_,156.92µm
_21512_,156.92µm
u_ctrl.u_task_table.remaining_wcet_mem\[14\]\[0\],156.88µm
net366,156.88µm
_10920_,156.8µm
_14456_,156.77µm
_07708_,156.7µm
_07111_,156.59µm
_09963_,156.59µm
_19575_,156.56µm
_05249_,156.51µm
_04359_,156.5µm
_09259_,156.47µm
_03278_,156.39µm
net4,156.31µm
_04123_,155.95µm
net223,155.9µm
_22604_,155.79µm
